serial_number,L_crispatus,L_gasseri,L_iners,L_jensenii,G_vaginalis,F_vaginae,BVAB-1
VV23-VV05-PCR-34O2,5.841126257379206e-06,5.841126257379206e-06,0.0008551220687542069,5.841126257379206e-06,0.0020663924604187515,0.00042443110193766357,7.764744613695023e-05
VV23-VV05-PCR-210B,5.121351459463031e-06,5.121351459463031e-06,0.00012859204344554617,5.121351459463031e-06,0.0028016025162997827,0.0023791764705095616,5.121351459463031e-06
VV23-VV05-PCR-074L,2.9013106150450717e-08,2.9013106150450717e-08,4.961569849845131e-07,2.9013106150450717e-08,6.561062546846973e-05,0.00011244241770228283,2.9013106150450717e-08
VV23-VV05-PCR-3I1M,0.3770228845434337,0.0017462901485263374,0.3694535765599799,0.028589020454770457,0.006616807390923079,3.878472236728048e-05,5.468706606263922e-07
VV23-VV05-PCR-2VM0,0.015179099335431344,2.092994570883261e-06,0.0001270490316620357,2.092994570883261e-06,0.8473976306499441,0.00022806773787083841,2.092994570883261e-06
VV23-VV05-PCR-211J,9.789347890727908e-08,9.789347890727908e-08,4.333980220728845e-06,9.789347890727908e-08,0.0006349079221893444,0.021108501864123084,0.023577360058974386
VV23-VV05-PCR-342D,2.3200819402403528e-08,2.3200819402403528e-08,0.036085223485119715,2.3200819402403528e-08,0.007574802559792496,0.12724968587309898,2.3200819402403528e-08
VV23-VV05-PCR-QL5D,8.499415134648819e-06,8.499415134648819e-06,0.00047892288637437473,8.499415134648819e-06,0.006713500888511666,0.00025964048920244597,8.499415134648819e-06
VV23-VV05-PCR-C54B,1.8720470106855182e-07,1.8720470106855182e-07,0.002279842695272305,1.8720470106855182e-07,0.1720104357535079,0.12535487428771142,1.8720470106855182e-07
VV23-VV05-PCR-7BHU,3.403222718614414e-06,3.403222718614414e-06,0.0001795939037997631,3.403222718614414e-06,0.002456929199532993,0.00041695606668258557,3.403222718614414e-06
VV23-VV05-PCR-4I83,1.6892275295366e-07,2.6563982890162976e-05,0.5016997067704858,1.6892275295366e-07,0.00014050411458122215,0.0006986579828786068,1.6892275295366e-07
VV23-VV05-PCR-QWXO,4.830128495025949e-06,4.830128495025949e-06,0.00016495875845324334,4.830128495025949e-06,0.0032732216164298956,0.0006477927759324859,4.830128495025949e-06
VV23-VV05-PCR-7WHX,0.46642822558622754,0.00647186397050467,0.19419446685130642,6.533154075874367e-07,0.0003326012013325708,0.0003664192706973312,6.533154075874367e-07
VV23-VV05-PCR-OY07,0.06291448404955398,0.006783201193894148,0.37408084526990365,4.48971125415804e-07,0.0004582679463255475,4.741378196731109e-05,4.48971125415804e-07
VV23-VV05-PCR-T4EH,1.167488686254877e-06,1.167488686254877e-06,0.28454130510874903,0.23791200881547342,0.00039758804558489956,7.723985598899988e-05,1.167488686254877e-06
VV23-VV05-PCR-21XI,8.600512693145964e-07,8.600512693145964e-07,2.7208104918896116e-05,8.600512693145964e-07,0.0048864992989278025,0.0014749901136934173,8.600512693145964e-07
VV23-VV05-PCR-8MYI,0.00019940690662479483,8.597943138903934e-06,0.0008956917882564983,8.597943138903934e-06,0.007697560410864323,0.0004343672642188494,8.597943138903934e-06
VV23-VV05-PCR-R4PD,1.633936106431627e-06,1.633936106431627e-06,4.437356529525164e-05,1.633936106431627e-06,0.001572286671209839,8.13887547047288e-05,1.633936106431627e-06
VV23-VV05-PCR-1IQ8,1.637501994883562e-07,1.637501994883562e-07,1.3507778940422e-05,1.637501994883562e-07,0.00023296712423336607,0.8392502693175197,1.637501994883562e-07
VV23-VV05-PCR-4C0W,1.9501452325178602e-06,1.4714632124850863e-05,4.557433086710727e-05,1.9501452325178602e-06,0.0024932564539193406,0.00011108933965108037,1.9501452325178602e-06
VV23-VV05-PCR-E5MI,0.00010828349658735666,2.1764661302020292e-06,5.736693637913954e-05,1.0721520162789655e-05,0.00018810567565963527,1.2984527125277218e-05,2.1764661302020292e-06
VV23-VV05-PCR-AXRM,3.5882730195378207e-07,0.37116433644717806,3.4127115373517855e-05,3.5882730195378207e-07,4.652642941703542e-05,5.156733448015836e-05,3.5882730195378207e-07
VV23-VV05-PCR-11F2,1.1277885994024213e-07,1.1277885994024213e-07,0.0033644793925562797,1.1277885994024213e-07,0.15503630527366802,0.7323006593858175,1.1277885994024213e-07
VV23-VV05-PCR-SKT0,8.947760055121341e-06,8.947760055121341e-06,0.000434680500769484,8.947760055121341e-06,0.002807905309406602,0.000918100686109697,8.947760055121341e-06
VV23-VV05-PCR-M36D,3.1243770517724136e-06,0.003574977804045109,0.00013115814290279074,0.5122336728436783,0.2462729364009144,0.14017208761019975,3.1243770517724136e-06
VV23-VV05-PCR-XK1P,3.5050173103083973e-06,1.2847580254598483e-07,6.400127159774632e-06,1.2847580254598483e-07,0.48254152378732995,0.507926623005711,1.2847580254598483e-07
VV23-VV05-PCR-FG28,8.037899668343512e-06,8.037899668343512e-06,0.00023120528556520742,8.037899668343512e-06,0.0006053486831063713,3.1454871630654156e-05,8.037899668343512e-06
VV23-VV05-PCR-V655,0.7736816704514327,4.138246458615725e-06,0.0002320822809085767,4.138246458615725e-06,0.00021436604123153727,4.138246458615725e-06,4.138246458615725e-06
VV23-VV05-PCR-3XWI,2.365107033296962e-05,2.365107033296962e-05,0.00038342047480514386,2.365107033296962e-05,0.00020054060496130496,0.005052415487598962,2.365107033296962e-05
VV23-VV05-PCR-7405,0.5960242769091632,1.1771054504395207e-06,0.20216539851960355,0.007959430916695875,0.0014847358513460775,5.253200554710755e-07,7.754478488835636e-08
VV23-VV05-PCR-K2X5,8.539885691244585e-08,8.539885691244585e-08,0.506493619480771,8.539885691244585e-08,0.004820314523130882,0.0017131236482231052,8.539885691244585e-08
VV23-VV05-PCR-6B6C,4.3273885503633525e-07,2.3723329044640337e-05,0.1870077545596685,4.3273885503633525e-07,0.20359047902489583,0.5858572152996961,4.3273885503633525e-07
